cyc,freq (MHz),wiggle time pre,pulse time,wiggle time post,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
25,44.923,0.37,0.01,0.61,3,25,35432.3,-0.372185,50.3926,16.1105,80.68,0.26173,94.686,340.376,-0.163856,0.0407127,2.77591,1.29373,0.942466,-60.9625,417.873,-63.1152,36344.5,27235.2,0.220008,0.424577,3.54364,1.67759,1.32633,0.507291,503.379,-56.7814,36430,0.0176287,1.24595,-0.00287945,28554.5 
26,44.783,0.37,0.01,0.61,3,26,31502.7,-0.0515253,50.5262,13.9608,81.2194,-0.522758,385.427,0.0705929,0.0448166,1.64371,1.7117,2.08693,1.38783,-52.151,8592.41,117.593,24102.4,29521.6,0.373198,1.97209,2.36847,2.41531,1.71621,0.732234,8665.56,123.011,24175.5,0.317644,0.97576,0.00928603,27280.7 
27,44.863,0.37,0.01,0.61,3,27,34035.9,-0.298773,52.1953,14.8134,80.8581,-0.0742984,238.774,292.012,-0.39076,-0.0431864,-1.00148,0.144722,2.3526,-67.6619,6795.66,44.7258,28394.6,25747.5,0.0352893,0.382863,-0.149383,0.570771,2.77865,1.04129,6890.56,51.7556,28489.5,0.239027,0.987026,0.0033353,28827.5 
28,44.813,0.37,0.01,0.61,3,28,32648.2,-0.0499027,53.9353,13.5919,81.05,-0.0150641,14.2713,1.18537e-12,0.29158,1.53409,-0.844133,-1.07063,-0.90809,-36.3125,15503.2,84.0717,18319.5,23871.2,0.520229,1.76274,-0.386833,-0.841983,-0.67944,2.03236,15554.1,87.8445,18370.4,0.523719,0.990213,0.00873173,29699.4 
29,44.883,0.37,0.01,0.61,3,29,35631.5,-0.337875,52.4641,15.4827,80.9124,0.0915147,119.383,490.392,2.65991,-1.26725,3.69604,0.298698,-0.732596,-44.748,2430.94,-8.11982,34486.9,26798.2,2.94168,-0.985484,4.25958,0.580464,-0.45083,0.328715,2493.71,-3.47068,34549.6,0.0857034,1.00244,-0.000185083,29096.9 
30,44.793,0.37,0.01,0.61,3,30,27693.9,-0.273063,46.3497,13.6466,81.2055,-0.0990727,48.373,474.395,-0.263147,-0.400713,-0.598107,-0.608914,-1.42135,-27.2756,9961.78,79.1184,18991.4,20746.6,-0.0913994,-0.228965,-0.254612,-0.437166,-1.2496,0.887426,10000,81.9522,19029.7,0.405634,0.985861,0.00787068,24652.9 
31,44.763,0.37,0.01,0.61,3,31,30612.1,-0.0197884,47.3819,14.5987,80.8148,-0.182457,176.844,500,1.91653,0.681853,1.96958,-1.30892,-1.71348,-69.7254,3009.24,30.4997,29139.6,23568,2.35557,1.1209,2.84766,-0.869877,-1.27444,0.31871,3107.04,37.7439,29237.4,0.121275,0.979184,0.00237242,25619.9 
32,44.903,0.37,0.01,0.61,3,32,35747.4,-0.336801,50.1952,16.2303,80.8162,-0.802431,957.594,297.812,-0.598861,0.277626,1.17636,-2.11396,1.5278,-49.2925,516.069,-27.6711,36585.1,51534.6,-0.288479,0.588008,1.79713,-1.80358,1.83818,0.156775,585.206,-22.5498,36654.2,0.0203133,1.07231,-0.00113456,28809 
33,44.663,0.37,0.01,0.61,3,33,34397.7,-0.34814,48.4649,16.2311,80.3999,-2.22341,-439.901,150.788,4.57828,1.49506,1.46887,3.20817,2.98878,-30.6588,833.055,2.92091,34834.9,57447.4,4.77133,1.68811,1.85497,3.40122,3.18183,0.875484,876.057,6.10624,34877.9,0.0315901,0.987949,0.000322402,27732.1 
34,44.833,0.37,0.01,0.61,3,34,31535.3,-0.0726273,51.1165,13.91,81.2408,0.00103915,-85.7464,8.7467e-12,-0.37485,-0.346245,-0.124683,-0.805225,0.79329,-46.7332,13949.8,106.298,18721.5,23149.4,-0.0805835,-0.0519781,0.46385,-0.510959,1.08756,0.489088,14015.4,111.153,18787.1,0.492088,0.986311,0.0107813,28481.4 
