cyc,freq (MHz),wiggle time pre,pulse time,wiggle time post,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
200,44.923,0.57,0.04,0.38,1.7,200,37310.7,-0.0160329,52.4158,15.7126,80.0743,0.0109872,-20.4101,4.322e-11,-1.78271,0.725265,3.61062,1.78931,1.6079,-48.0221,508.875,-96.5007,37518.3,26817.8,-1.48033,1.02765,4.21538,2.09169,1.91028,0.457108,576.23,-91.5114,37585.6,0.0195219,1.38489,-0.00450527,29517.1 
201,44.783,0.57,0.04,0.38,1.7,201,36144.8,-0.179103,49.9226,16.134,79.9425,-0.65979,435.586,412.799,0.922495,2.81752,2.8704,2.022,1.36663,-18.7151,447.764,-101.74,36261.5,35575.8,1.04034,2.93536,3.10609,2.13984,1.48447,0.709877,474.013,-99.7954,36287.7,0.0166815,1.58336,-0.0050918,28415.6 
202,44.863,0.57,0.04,0.38,1.7,202,37882.3,-0.170863,50.641,16.6315,80.1253,0.306839,-446.623,59.1876,1.27049,-0.113931,1.36211,-0.0644026,-1.332,-5.60468,1014.81,-91.0451,37483,31878.8,1.30578,-0.07864,1.4327,-0.0291115,-1.29671,-0.0739704,1022.67,-90.4627,37490.9,0.0342138,1.18315,-0.00446471,29890.7 
203,44.813,0.57,0.04,0.38,1.7,203,35140,0.0532065,50.2332,15.341,80.2647,-0.00643476,-29.1046,5.72041e-11,-3.94728,-1.09954,1.68083,1.24787,0.0017703,18.6072,952.684,-103.507,34781.3,25092.5,-4.06444,-1.2167,1.4465,1.13071,-0.115394,1.51307,926.585,-105.44,34755.2,0.0334651,1.24866,-0.00561997,27688.1 
204,44.883,0.57,0.04,0.38,1.7,204,37801.3,-0.144038,51.6481,16.2143,80.3905,-0.0417131,57.0428,292.238,-3.70265,-1.16001,1.63254,3.70063,-2.27808,32.3578,568.118,-116.923,37826.1,27338.8,-3.9064,-1.36375,1.22505,3.49688,-2.48183,1.4043,522.733,-120.284,37780.7,0.0176516,1.67416,-0.0058994,29613.9 
205,44.793,0.57,0.04,0.38,1.7,205,37036.7,-0.151791,51.8488,15.8481,80.3097,-0.264629,-138.475,390.073,-0.6494,-1.89742,1.9811,2.47169,0.913567,39.2505,998.324,-93.3241,36562.7,27942.1,-0.89655,-2.14457,1.4868,2.22454,0.666416,-0.112343,943.271,-97.4021,36507.6,0.032466,1.22056,-0.00493899,29054.2 
206,44.763,0.57,0.04,0.38,1.7,206,37390.2,-0.180593,49.0096,16.9896,80.2624,0.330549,-479.542,38.8423,-2.15165,0.383682,-2.00905,1.01398,-0.0327817,26.5212,709.598,-110.555,37137.5,32265.7,-2.31864,0.216684,-2.34304,0.846979,-0.199779,0.383053,672.4,-113.311,37100.3,0.0229962,1.41825,-0.00565794,29239.6 
207,44.903,0.57,0.04,0.38,1.7,207,36430.8,-0.112148,51.8938,15.4941,80.7132,-0.0349763,-21.238,335.763,-4.99207,-2.74795,-1.66532,-1.02755,2.07993,-30.3475,358.569,-119.574,36728.6,26198.6,-4.80098,-2.55686,-1.28314,-0.836455,2.27102,0.821945,401.135,-116.421,36771.1,0.0139696,2.03212,-0.00586651,28714.9 
208,44.663,0.57,0.04,0.38,1.7,208,37465.5,-0.118653,50.9997,16.2209,80.2574,0.0336042,114.713,499.94,-2.1993,1.03818,-1.51839,2.95535,-0.796921,0.0334793,399.385,-103.765,37605.5,27055.6,-2.19951,1.03797,-1.51881,2.95514,-0.797132,-1.90767,399.338,-103.769,37605.5,0.0136035,1.83399,-0.00510909,29355.6 
209,44.833,0.57,0.04,0.38,1.7,209,30356.4,-0.0811086,47.5755,14.0532,80.3149,-0.0250292,93.5132,332.414,-2.6428,-3.10085,-1.88145,0.043821,0.999533,-88.494,14912.1,102.751,15924.9,21840.9,-2.08557,-2.54362,-0.767002,0.601044,1.55676,0.763154,15036.2,111.946,16049,0.548888,0.987139,0.0126861,27394 
