cyc,freq,VVA,Charge Time,Wiggle Time,Pulse Time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
108,44.845,1.6,0.51,0.41,0.06,108,28809.3,-0.114212,47.4585,13.8133,80.0374,0.0238624,34.1866,500,0.753264,-0.269393,0.187577,3.69878,1.71747,-15.395,1811.58,-26.0785,28197.3,21367.1,0.850202,-0.172455,0.381453,3.79572,1.81441,0.942805,1833.18,-24.479,28218.9,0.047593,1.02393,-0.00160053,38517.7 
109,44.85,1.6,0.51,0.41,0.06,109,29878.3,-0.0366098,48.5574,13.986,80.1889,-0.0459684,51.2773,500,-0.671766,0.846106,-2.03737,1.24308,-0.520567,1.51792,369.389,-80.4684,30907.4,22184.5,-0.681324,0.836548,-2.05648,1.23352,-0.530124,-0.716792,367.26,-80.6261,30905.3,0.00905826,1.62386,-0.00482891,40544.2 
110,44.78,1.6,0.51,0.41,0.06,110,29469.8,-0.0545988,48.0881,13.9444,80.2026,-0.0398224,56.7827,500,0.309401,0.557536,-2.66811,0.451875,0.931632,-2.75716,334.228,-83.1744,30382.3,21902.5,0.326762,0.574897,-2.63339,0.469236,0.948993,-7.40003,338.096,-82.8879,30386.2,0.0084863,1.75141,-0.0050503,39840.2 
111,44.79,1.6,0.51,0.41,0.06,111,29968.1,-0.0566133,49.091,13.9385,79.8216,-0.01577,38.2495,2.30957e-08,1.98221,0.517764,1.88124,-0.109588,0.0425888,-38.0652,964.513,-54.4934,30351.4,22294.4,2.22189,0.75745,2.36061,0.130098,0.282275,0.589625,1017.9,-50.5385,30404.8,0.025106,1.09515,-0.00307133,40544.1 
112,44.82,1.6,0.51,0.41,0.06,112,30488.9,-0.36887,50.9724,13.8133,80.2531,0.0433034,-7.23484,481.138,1.9179,-0.610873,-2.35394,0.975798,0.8551,5.70708,2371.41,-31.589,29558.6,22930.8,1.88197,-0.646809,-2.42582,0.939862,0.819164,5.26804,2363.4,-32.1819,29550.6,0.0579562,1.02441,-0.00201017,40779.2 
113,44.815,1.6,0.51,0.41,0.06,113,27923.1,-0.0600056,46.568,13.6384,80.2226,-0.0265494,65.4899,499.991,1.98842,1.3008,0.774081,2.10751,3.30926,-4.43571,710.74,-66.9027,28584.7,20731.7,2.01635,1.32873,0.829942,2.13545,3.33719,0.913975,716.961,-66.4419,28590.9,0.0189246,1.19357,-0.00429924,37885.1 
114,44.855,1.6,0.51,0.41,0.06,114,31445.7,0.0177488,51.023,13.9583,80.1103,0.00510729,-29.9365,3.3611,-0.670245,-1.30453,-1.24192,1.39163,-0.634878,30.5455,1200.97,-50.2329,31489.8,23189.3,-0.862582,-1.49687,-1.62659,1.19929,-0.827215,0.549915,1158.12,-53.4065,31446.9,0.0275487,1.08778,-0.00313827,42039.1 
115,44.785,1.6,0.51,0.41,0.06,115,27533.5,-0.0135682,46.2564,13.5162,80.1195,-0.0684212,41.1142,1.85278e-12,-1.53291,-2.76935,-0.652873,0.205783,-1.2723,-30.6073,378.503,-46.5346,28420.5,20444.3,-1.34019,-2.57663,-0.267421,0.398509,-1.07958,0.945035,421.433,-43.3546,28463.4,0.0112611,1.21956,-0.00281374,37423.8 
116,44.795,1.6,0.51,0.41,0.06,116,25940.1,-0.0145224,44.3518,13.2949,80.1767,0.01831,-147.204,500,-0.745667,1.30039,0.661909,1.85016,0.189686,44.6641,436.797,-73.7285,26943,19282.9,-1.0269,1.01915,0.0994328,1.56892,-0.0915516,0.936628,374.151,-78.3689,26880.4,0.0105936,1.57866,-0.0053996,35318.6 
117,44.825,1.6,0.51,0.41,0.06,117,30286.8,-0.0377058,52.7599,12.974,80.1926,-0.0400492,78.5954,500,2.65285,0.766624,-1.19375,1.07823,0.422135,-12.9447,10874.7,127.218,20542.6,22385.5,2.73436,0.848133,-1.03073,1.15974,0.503644,1.24453,10892.9,128.563,20560.7,0.289536,0.979764,0.0113872,37621.8 
