cyc,freq,VVA,Charge Time,Wiggle Time,Pulse Time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
45,44.8,1.5,0.61,0.29,0.08,45,29798.8,-0.0763121,48.7463,13.9004,79.845,0.130122,295.744,500,1.16859,-0.142496,1.91217,0.680111,1.21394,-45.1912,2111.13,-37.1149,28904.4,23310.6,1.45315,0.142061,2.48129,0.964668,1.4985,0.620578,2174.52,-32.4198,28967.8,0.0545913,1.02679,-0.00206588,39832.6 
46,44.803,1.5,0.61,0.29,0.08,46,28799.1,-0.120656,48.4031,13.5803,79.7346,0.0174016,193.662,0.131386,2.75727,-1.51929,-1.17521,-1.32153,1.37397,-31.45,2297.14,-25.4747,27916.4,21507.8,2.9553,-1.32126,-0.779146,-1.1235,1.572,1.59778,2341.25,-22.2072,27960.5,0.0605133,1.01688,-0.00146521,38689.9 
47,44.806,1.5,0.61,0.29,0.08,47,25959.2,-0.28276,45.7505,13.0258,79.8769,-0.0212129,257.48,499.795,1.27661,1.97051,0.986156,0.851555,-0.250081,21.9178,2688.93,-3.73638,24740.8,19577.6,1.1386,1.8325,0.710135,0.713545,-0.388091,0.822762,2658.18,-6.01355,24710.1,0.0764257,1.00397,-0.000448504,34781.3 
48,44.809,1.5,0.61,0.29,0.08,48,28473.6,-0.319845,48.7227,13.4385,79.8358,-0.0408543,89.7284,459.174,-0.847031,-0.122011,2.32802,2.3373,-0.733642,-4.84588,3237.74,-15.8317,26545,21433.9,-0.816517,-0.0914979,2.38904,2.36781,-0.703128,0.24054,3244.54,-15.3283,26551.8,0.085921,1.00834,-0.00106457,37761.9 
49,44.812,1.5,0.61,0.29,0.08,49,26602.7,-0.314729,47.6465,12.8771,79.98,-0.017713,-3.74052,462.613,-1.07014,-0.414911,-0.580765,1.87105,0.451603,-20.9247,6169.92,69.2877,21819,19975.2,-0.938379,-0.283153,-0.31725,2.0028,0.58336,1.3029,6199.27,71.4617,21848.4,0.179158,0.980226,0.00598907,34602.2 
50,44.815,1.5,0.61,0.29,0.08,50,32337.7,0.015961,55.9051,13.0202,79.9613,-0.00701351,-33.7565,500,2.02689,1.68072,1.6249,2.65539,-1.90069,-29.9487,15161.7,173.887,18390.3,23703.1,2.21547,1.8693,2.00205,2.84397,-1.71211,0.722657,15203.7,176.998,18432.3,0.388188,0.980034,0.0173815,39165.7 
51,44.818,1.5,0.61,0.29,0.08,51,29384.4,-0.0434109,53.361,12.4884,80.0728,-0.0653717,-10.8209,499.934,2.43779,0.403091,-2.67853,0.836275,-0.58009,-44.0828,16257.3,192.759,14325.8,21716.3,2.71537,0.680669,-2.12337,1.11385,-0.302512,2.01889,16319.1,197.339,14387.6,0.465954,0.979277,0.0246435,35023.1 
52,44.821,1.5,0.61,0.29,0.08,52,31250.6,-0.0583234,55.3951,12.8105,80.1353,-0.0412173,150.566,474.352,-0.138869,1.75081,-1.76044,1.09794,-2.68349,-33.9233,17300.7,242.228,15161.6,23303.1,0.0747369,1.96442,-1.33323,1.31155,-2.46989,-1.94695,17348.3,245.753,15209.2,0.467353,0.975809,0.0289046,37120.2 
53,44.824,1.5,0.61,0.29,0.08,53,27351.6,-0.269506,50.2959,12.4466,80.054,-0.0503903,322.166,223.403,-0.0651531,-0.382674,-3.31391,-0.720031,0.0145086,-16.1075,10364.3,99.1898,18255.6,20907.3,0.0362713,-0.28125,-3.11106,-0.618607,0.115933,0.193757,10386.9,100.863,18278.2,0.304168,0.98329,0.0100629,34148.6 
54,44.827,1.5,0.61,0.29,0.08,54,27408.8,0.0166134,47.8896,13.0593,79.7496,-0.0295735,-16.3982,500,1.40235,2.48372,1.14213,-1.80478,1.75963,-26.2668,4646.36,27.9898,24219,20374.7,1.56774,2.64911,1.47292,-1.63939,1.92503,0.753503,4683.2,30.7188,24255.8,0.129314,0.988651,0.0023275,36215.8 
