cyc,freq,Charge Time,Wiggle Time,Pulse Time,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,44.839,0.75,0.11,0.12,1.4,0,36164,-0.479377,56.6753,14.8195,78.7761,-0.373128,251.486,474.897,0.587571,1.76488,5.7733,2.23526,-1.97063,-23.7069,1879.6,-84.777,35700.6,30396.2,0.736847,1.91415,6.07185,2.38454,-1.82135,0.346131,1912.85,-82.314,35733.8,0.0433961,1.08144,-0.00426143,44078.8 
1,44.8,0.67,0.19,0.12,1.4,1,35664.9,0.0526737,57.0567,14.264,78.9045,-0.0112531,-18.8846,7.09364e-11,-0.623686,1.45043,-1.29179,2.67931,1.86956,-8.76615,373.168,-114.548,36823.1,26500.7,-0.568488,1.50562,-1.18139,2.73451,1.92476,1.26759,385.463,-113.637,36835.4,0.00879026,2.06573,-0.00571536,43851.2 
2,44.818,0.47,0.39,0.12,1.4,2,35637.3,-0.429704,60.4375,13.6145,78.7598,-0.234177,108.012,361.187,1.69403,-1.15984,3.24864,-1.17034,2.56146,12.2861,6318.23,-16.3868,30752.4,27609.1,1.61667,-1.2372,3.09391,-1.2477,2.4841,0.343088,6301,-17.6633,30735.1,0.14802,1.00493,-0.00105977,42568.5 
3,44.824,0.71,0.15,0.12,1.4,3,35811.3,-0.461919,60.5429,13.7136,78.8519,2.36748,-12206.6,486.224,1.91917,3.196,-0.654765,2.60128,3.21044,-31.6457,4609.33,-52.4623,32888.3,967778,2.11843,3.39526,-0.256236,2.80055,3.40971,1.02234,4653.72,-49.1745,32932.6,0.106947,1.01884,-0.00275819,43514.2 
4,44.809,0.75,0.11,0.12,1.4,4,34671.2,0.0145093,58.7062,13.4611,78.7319,-0.0218918,-16.2097,500,0.369231,-0.257433,7.06978,4.33983,4.82935,-30.2019,4246.69,-50.8955,32108.2,25736.8,0.559405,-0.0672591,7.45013,4.53,5.01952,0.574079,4289.05,-47.7576,32150.5,0.101572,1.01987,-0.00274384,42226.7 
5,44.83,0.67,0.19,0.12,1.4,5,36762.2,-0.157321,62.6356,13.3544,78.9061,0.150624,-230.107,500,3.08253,-1.71051,-1.20544,4.07756,-1.79169,-29.3962,12216.5,85.2428,25992.5,28357.9,3.26763,-1.52541,-0.835242,4.26266,-1.60659,1.23442,12257.7,88.2969,26033.7,0.285212,0.987551,0.00620896,42977.5 
6,44.839,0.59,0.27,0.12,1.4,6,31234,-0.0242371,52.0528,13.7207,78.6478,0.301485,-104.427,499.999,-0.180927,0.131191,-1.15772,0.823233,3.55898,-7.19442,1333.07,-64.9169,31601.4,24274.6,-0.135626,0.176493,-1.06712,0.868535,3.60428,1.30962,1343.17,-64.1694,31611.5,0.0347568,1.09123,-0.0037534,38644.7 
7,44.803,0.51,0.35,0.12,1.4,7,35249,-0.444649,57.5078,14.1865,78.6721,-0.651523,905.344,473.223,-0.0693418,-0.750577,3.00722,0.779336,2.63686,-20.9291,660.346,-115.679,36008.5,45759.8,0.0624433,-0.618792,3.27079,0.911122,2.76864,0.488476,689.701,-113.505,36037.8,0.01596,1.40449,-0.00583576,43214.3 
8,44.833,0.71,0.15,0.12,1.4,8,32886.6,-0.440452,56.1726,13.6062,78.6579,0.659893,-77.1103,462.907,-1.61582,2.62349,1.99035,1.82749,-0.91341,30.4349,2680.25,-68.3833,31911,26536.8,-1.80746,2.43185,1.60707,1.63585,-1.10505,0.418204,2637.56,-71.5454,31868.3,0.0655422,1.04984,-0.00415276,40242.2 
9,44.815,0.67,0.19,0.12,1.4,9,35902.8,-0.419841,59.2591,13.9636,78.5185,-0.126428,251.791,380.983,0.479149,0.507521,5.29122,2.65862,4.40291,-68.0931,5127.94,-17.4665,32209.6,27973.3,0.907913,0.936285,6.14875,3.08739,4.83168,0.613578,5223.45,-10.3919,32305.1,0.120513,1.00349,-0.000592921,43343.5 
