cyc,waittime,wiggletime,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ff
143,0.74,0.24,44.7,143,44804,-0.671847,79.694,13.2089,73.2951,0.156427,164.406,0.133647,-0.935803,-2.91489,0.2208,3.39813,-2.40261,-92.518,1092.29,-127.098,45901.8,35105.1,-0.353242,-2.33233,1.38592,3.98069,-1.82005,-0.609695,1222.05,-117.486,46031.6,0.0269102,1.20227,-0.00472381,45412.4,0.96 
144,0.73,0.24,44.94,144,42844.8,-0.695217,77.8167,12.972,73.4479,0.305752,-1524,0.117407,-1.82946,-2.96945,-4.81864,1.29462,2.74204,-33.9895,432.999,-113.223,44696.6,48029.3,-1.61544,-2.75543,-4.39059,1.50865,2.95606,-0.0218417,480.673,-109.692,44744.3,0.0110664,1.66489,-0.00453646,43435.2,0.96 
145,0.73,0.24,44.9,145,43046.5,-0.234151,77.6876,12.8137,73.4367,0.201582,166.711,7.12311e-07,-0.509278,-0.0299119,3.08578,-2.065,0.0910996,-38.6435,1818.48,-104.165,43414.5,33499.7,-0.265949,0.213416,3.57244,-1.82167,0.334428,-0.75752,1872.68,-100.151,43468.7,0.0429488,1.10325,-0.00426224,43602.7,0.96 
146,0.73,0.24,44.92,146,43947.3,-0.633302,77.852,13.1842,73.2327,-0.011491,292.466,283.234,-1.50251,-4.05005,-3.34191,1.49861,-1.16585,38.9497,375.767,-147.381,45623.4,33522.7,-1.74776,-4.2953,-3.83242,1.25335,-1.4111,0.618028,321.136,-151.428,45568.8,0.00728742,5.72056,-0.00615914,44067.1,0.96 
147,0.73,0.24,44.84,147,43188.1,-0.0364628,83.1636,11.9101,73.6907,-0.0047479,-14.8621,500,0.428528,-0.869771,3.98921,-0.351306,-0.337472,-46.0041,14062.5,146.854,31475.2,32245.9,0.718204,-0.580095,4.56856,-0.0616301,-0.0477962,0.00623893,14127,151.634,31539.7,0.31814,0.981563,0.00877857,44405.2,0.96 
148,0.73,0.24,44.86,148,47436.9,-0.256826,86.9559,12.5565,73.6536,-0.121115,136.371,499.972,-2.18506,-1.48767,-0.111483,-1.9632,-2.54124,52.4849,11399.3,60.8522,38299.2,36081.3,-2.51555,-1.81816,-0.77245,-2.29368,-2.87172,0.924797,11325.7,55.3992,38225.6,0.235842,0.991513,0.0026626,48022.2,0.96 
149,0.73,0.24,44.78,149,44513.8,-0.068182,82.601,12.3939,73.6385,0.010092,53.5416,6.22447e-12,-1.0629,-0.764387,0.271124,3.53034,-1.53853,39.1788,6933.53,-7.976,39679.6,33343.9,-1.3096,-1.01109,-0.222273,3.28364,-1.78523,0.787205,6878.57,-12.0465,39624.6,0.153136,1.00307,-0.000560344,44918.2,0.96 
150,0.73,0.24,44.88,150,41190.9,-0.0684777,76.7041,12.3881,73.6477,0.0928024,41.4994,500,-0.296078,-0.152065,-2.11451,1.86608,-0.751188,-38.6751,4958.38,-30.3963,38457.7,31058.2,-0.0525517,0.0914613,-1.62745,2.10961,-0.507662,122.426,5012.63,-26.3781,38511.9,0.119394,1.00929,-0.00126331,41984.1,0.96 
151,0.73,0.24,44.76,151,40351.5,-0.428871,75.0008,12.7028,73.2794,0.171462,351.337,91.5419,-1.9627,1.16662,0.328581,-0.554451,0.950207,3.78267,2528.98,-51.7432,40192.2,32975.2,-1.98651,1.1428,0.280944,-0.57827,0.926388,2.30885,2523.67,-52.1362,40186.9,0.0613986,1.03751,-0.00239557,41103.1,0.96 
152,0.73,0.24,44.72,152,42740.2,-0.076994,75.5424,13.0902,73.0426,0.254094,-109.727,1.48819,-3.53215,0.0194084,-5.92433,1.21902,1.75353,12.2238,482.833,-138.435,44441.6,33098.4,-3.60912,-0.0575618,-6.07827,1.14205,1.67656,0.122442,465.688,-139.705,44424.4,0.0108015,2.10523,-0.00582676,43113.1,0.96 
153,0.73,0.24,44.82,153,47148.9,-0.622874,89.0674,12.2916,73.6141,-0.0167965,437.72,180.742,0.0242038,-0.221599,3.15733,-1.36985,-0.942652,16.9313,16109,153.446,33317.4,35878,-0.0824082,-0.328211,2.94411,-1.47646,-1.04926,-377.97,16085.3,151.687,33293.6,0.334781,0.983765,0.00832286,48047.2,0.96 
154,0.73,0.24,44.74,154,43415.3,-0.654097,77.6133,13.1063,73.3314,-1.40698,-920.231,217.304,-0.330659,-4.10012,0.610801,0.259731,-2.90219,-22.8321,543.84,-123.956,44874.2,75262.1,-0.186892,-3.95635,0.898336,0.403499,-2.75843,1.16042,575.864,-121.584,44906.2,0.0131819,1.586,-0.00501251,43685.8,0.96 
155,0.73,0.24,44.81,155,43673.6,-0.335662,83.2183,12.1093,73.6585,-0.796051,25.0251,500,-1.6982,-2.35424,1.41772,-0.1282,0.598519,30.4591,13944.8,81.9082,32046,33453,-1.88999,-2.54603,1.03414,-0.319992,0.406726,1.31194,13902.1,78.7436,32003.3,0.31153,0.990185,0.00451202,44625.2,0.96 
156,0.73,0.24,44.83,156,46679.2,-0.406807,86.9498,12.4953,73.8782,0.0196413,551.426,158.685,-0.452687,-1.77298,2.21149,-1.38825,1.89397,97.6438,16266.3,153.447,32694.6,35720.5,-1.06752,-2.38782,0.981815,-2.00309,1.27914,1.30706,16129.4,143.302,32557.7,0.340392,0.98469,0.00804279,47384.7,0.96 
