# (c) Tilman Enss 2019
# bulk viscosity sum rule S(T)(k_Fa)^2/(n*EF) = 2ma^2S(T)/n = (\partial\mathcal C/\partial 1/a)/(18\pi n)
# data from Enss, PRL 123, 205301 (2019), Fig. 3c (red solid line)
T/T_F S(T)(k_Fa)^2/(n*EF)
1.5999998850e-01 0.234015
1.7999990080e-01 0.212791
2.0100005270e-01 0.200592
2.2000003690e-01 0.193198
2.5000001820e-01 0.184789
2.9999997530e-01 0.174301
3.4000003320e-01 0.167758
3.9999986010e-01 0.159075
5.0000031080e-01 0.146641
5.8000020400e-01 0.137481
6.9999953810e-01 0.125172
8.3000023000e-01 0.11357
1.0000001989e+00 0.100219
1.4000007943e+00 0.0768812
1.7000002561e+00 0.0642334
2.0000007211e+00 0.0545489
2.4999995653e+00 0.042597
2.9999994921e+00 0.0339865
3.7999985762e+00 0.0254275
4.9999994027e+00 0.0179211
6.9999997898e+00 0.0113827
9.9999995177e+00 0.00688409
1.4999998852e+01 0.00381635
1.9999999892e+01 0.00249191
